name,class,drug_name
neuroleptic malignant syndrome,Major,Duopa
psychoses/depression,Major,Duopa
psychosis,Major,Duopa
glaucoma,Major,Duopa
liver/renal,Major,Duopa
melanoma,Major,Duopa
reactive airway disease,Major,Duopa
depression,Moderate,Duopa
GI bleeding,Moderate,Duopa
immunization,Major,Dupixent
helminth infections,Moderate,Dupixent
visual defects,Moderate,Dupixent
liver disease,Moderate,Dutasteride
zaleplon,Moderate,Echinacea
zileuton,Moderate,Echinacea
ziprasidone,Moderate,Echinacea
zolmitriptan,Moderate,Echinacea
zolpidem,Moderate,Echinacea
zonisamide,Moderate,Echinacea
depression,Major,Effexor XR
renal disease,Major,Effexor XR
renal/liver disease,Major,Effexor XR
mania,Moderate,Effexor XR
glaucoma,Moderate,Effexor XR
hypertension,Moderate,Effexor XR
hyponatremia,Moderate,Effexor XR
mania,Moderate,Effexor XR
seizures,Moderate,Effexor XR
urinary tract obstruction,Moderate,Effexor XR
weight loss,Minor,Effexor XR
hepatic impairment,Major,Elagolix
osteoporosis,Major,Elagolix
depression/anxiety,Moderate,Elagolix
anticholinergic effects,Major,Elavil
cardiovascular disease,Major,Elavil
pheochromocytoma,Major,Elavil
acute myocardial infarction recovery,Major,Elavil
cardiovascular disease,Major,Elavil
depression,Major,Elavil
seizure disorders,Major,Elavil
bone marrow suppression,Moderate,Elavil
diabetes,Moderate,Elavil
renal/liver disease,Moderate,Elavil
schizophrenia/bipolar disorder,Moderate,Elavil
tardive dyskinesia,Moderate,Elavil
acute alcohol intoxication,Moderate,Elavil
bipolar disorder screening,Moderate,Elavil
glaucoma,Moderate,Elavil
hyper/hypoglycemia,Moderate,Elavil
liver/renal disease,Moderate,Elavil
neutropenia,Moderate,Elavil
schizophrenia,Moderate,Elavil
thyroid disorders,Moderate,Elavil
urinary retention,Moderate,Elavil
cardiovascular disease,Moderate,Eligard
diabetes,Moderate,Eligard
QT interval prolongation,Moderate,Eligard
bone mineral density,Moderate,Eligard
seizures,Moderate,Eligard
bleeding,Major,Eliquis
hepatic impairment,Major,Eliquis
valvular heart disease,Major,Eliquis
renal dysfunction,Major,Empagliflozin
hypotension,Moderate,Empagliflozin
infections,Moderate,Empagliflozin
infections,Major,Empaveli
angioedema,Major,Enalapril
bone marrow suppression,Major,Enalapril
CHF,Major,Enalapril
hemodialysis,Major,Enalapril
hyperkalemia,Major,Enalapril
hypotension,Major,Enalapril
liver disease,Moderate,Enalapril
renal dysfunction,Moderate,Enalapril
hepatitis B,Major,Enbrel
infections,Major,Enbrel
tuberculosis,Major,Enbrel
alcoholic hepatitis,Moderate,Enbrel
heart failure,Moderate,Enbrel
hematologic abnormalities,Moderate,Enbrel
hypoglycemia,Moderate,Enbrel
nervous system disorders,Moderate,Enbrel
varicella,Moderate,Enbrel
Wegener's granulomatosis,Moderate,Enbrel
cardiac disease,Moderate,Enhertu
hepatic impairment,Moderate,Enhertu
severe renal impairment,Moderate,Enhertu
hemophilia,Major,Enoxaparin
liver disease,Major,Enoxaparin
peptic ulcer disease,Major,Enoxaparin
retinopathy,Major,Enoxaparin
subacute bacterial endocarditis,Major,Enoxaparin
active bleeding,Major,Enoxaparin
hypertension,Major,Enoxaparin
renal dysfunction,Major,Enoxaparin
thrombocytopenia,Major,Enoxaparin
prematurity,Major,Enoxaparin
hypertension,Moderate,Enoxaparin
kidney disease,Moderate,Enoxaparin
diabetes,Major,Entresto
angioedema,Major,Entresto
hypotension,Major,Entresto
CHF,Moderate,Entresto
hyperkalemia,Moderate,Entresto
renal artery stenosis,Moderate,Entresto
renal impairment,Moderate,Entresto
renal/liver disease,Moderate,Entresto
infections,Major,Entyvio
PML,Major,Entyvio
liver disease,Major,Entyvio
vaccination,Moderate,Entyvio
renal impairment,Moderate,Enzalutamide
seizures,Moderate,Enzalutamide
immunosuppression,Major,Epclusa
hepatic impairment,Moderate,Epclusa
renal impairment,Moderate,Epclusa
cardiovascular disease,Major,Ephedrine
BPH,Moderate,Ephedrine
diabetes,Moderate,Ephedrine
BPH,Moderate,Ephedrine
diabetes,Moderate,Ephedrine
suicidal tendency,Moderate,Epidiolex
hepatic impairment,Moderate,Epidiolex
cardiovascular disease,Major,EpiPen
dehydration,Major,EpiPen
parkinson's disease,Moderate,EpiPen
acidosis,Moderate,EpiPen
diabetes,Moderate,EpiPen
diabetes type II and microalbuminuria,Major,Eplerenone
hyperkalemia,Major,Eplerenone
renal dysfunction,Major,Eplerenone
liver disease,Moderate,Eplerenone
cardiovascular adverse effects,Major,Ergocalciferol
arrhythmia,Major,Ergocalciferol
electrolyte imbalance,Major,Ergocalciferol
hypercalcemia,Major,Ergocalciferol
renal dysfunction,Major,Ergocalciferol
hepatobiliary dysfunction,Moderate,Ergocalciferol
CV events,Moderate,Erleada
liver dysfunction,Moderate,Erleada
osteoporosis,Moderate,Erleada
renal impairment,Moderate,Erleada
seizure,Moderate,Erleada
colitis,Major,Ertapenem
renal dysfunction,Major,Ertapenem
CNS disorders,Moderate,Ertapenem
hemodialysis,Moderate,Ertapenem
sodium,Moderate,Ertapenem
depression,Major,Escitalopram
renal dysfunction,Moderate,Escitalopram
hyponatremia,Moderate,Escitalopram
liver disease,Moderate,Escitalopram
mania,Moderate,Escitalopram
platelet function,Moderate,Escitalopram
seizure disorders,Moderate,Escitalopram
SIADH,Moderate,Escitalopram
weight loss,Minor,Escitalopram
C. diff,Major,Esomeprazole
liver disease,Moderate,Esomeprazole
bone fractures,Moderate,Esomeprazole
hypomagnesemia,Moderate,Esomeprazole
depression,Major,Eszopiclone
glaucoma,Moderate,Eszopiclone
liver disease,Moderate,Eszopiclone
hepatitis B,Major,Etanercept
infections,Major,Etanercept
tuberculosis,Major,Etanercept
alcoholic hepatitis,Moderate,Etanercept
heart failure,Moderate,Etanercept
hematologic abnormalities,Moderate,Etanercept
hypoglycemia,Moderate,Etanercept
nervous system disorders,Moderate,Etanercept
varicella,Moderate,Etanercept
Wegener's granulomatosis,Moderate,Etanercept
asthma,Major,Etodolac
fluid retention,Major,Etodolac
GI toxicity,Major,Etodolac
rash,Major,Etodolac
renal toxicities,Major,Etodolac
thrombosis,Major,Etodolac
anemia,Moderate,Etodolac
heart failure,Moderate,Etodolac
hepatotoxicity,Moderate,Etodolac
hyperkalemia,Moderate,Etodolac
hypertension,Moderate,Etodolac
platelet aggregation inhibition,Moderate,Etodolac
hepatic dysfunction,Major,Eulexin
hemolysis,Moderate,Eulexin
hypocalcemia,Major,Evenity
myocardial infarction/stroke,Major,Evenity
osteonecrosis of the jaw,Moderate,Evenity
liver disease,Major,Everolimus
vaccination,Major,Everolimus
renal disease,Major,Everolimus
hematologic abnormalities,Moderate,Everolimus
blood glucose,Moderate,Everolimus
cholesterol,Moderate,Everolimus
Infections,Moderate,Everolimus
wound complication,Moderate,Everolimus
thromboembolism,Major,Evista
heart disease,Moderate,Evista
hypertriglyceridemia,Moderate,Evista
liver disease,Moderate,Evista
renal impairment,Moderate,Evista
osteoporosis,Moderate,Exemestane
vitamin D deficiency,Moderate,Exemestane
liver disease,Major,Ezetimibe
myopathy/rhabdomyolysis,Moderate,Ezetimibe
renal impairment,Moderate,Ezetimibe
GI bleeding,Major,Famotidine
renal dysfunction,Moderate,Famotidine
liver dysfunction,Major,Farxiga
renal dysfunction,Major,Farxiga
hypotension,Moderate,Farxiga
infections,Moderate,Farxiga
infections,Moderate,Fasenra
hepatic dysfunction,Major,Faslodex
bleeding,Moderate,Faslodex
secondary hyperuricemia,Major,Febuxostat
CV disease,Moderate,Febuxostat
renal dysfunction,Moderate,Febuxostat
hepatic impairment,Moderate,Febuxostat
liver disease,Major,Femara
cholesterol,Moderate,Femara
osteoporosis,Moderate,Femara
hemoglobin abnormalities,Major,Ferrous gluconate
achlorhydria,Moderate,Ferrous gluconate
gastrointestinal irritation,Moderate,Ferrous gluconate
renal dysfunction,Moderate,Fexofenadine
liver disease,Moderate,Finasteride
urinary obstruction,Moderate,Finasteride
cardiac disease,Major,Fintepla
pulmonary disease,Major,Fintepla
suicidal tendency,Moderate,Fintepla
bipolar disorders,Moderate,Fintepla
psychotic disorders,Moderate,Fintepla
alcoholism,Moderate,Fintepla
anorexia,Moderate,Fintepla
hypertension,Moderate,Fintepla
liver impairment,Moderate,Fintepla
renal dysfunction,Moderate,Fintepla
visual disturbance,Moderate,Fintepla
hepatic impairment,Moderate,Firmagon
renal impairment,Moderate,Firmagon
QT prolongation,Moderate,Firmagon
colitis,Major,Flagyl
blood dyscrasias,Major,Flagyl
neurologic toxicity,Major,Flagyl
dialysis,Moderate,Flagyl
liver disease,Moderate,Flagyl
sodium,Moderate,Flagyl
alcoholism,Moderate,Flagyl
cardiovascular dysfunction,Major,Flecainide
proarrhythmic effects,Major,Flecainide
sinus-AV node dysfunction,Major,Flecainide
electrolyte imbalance,Moderate,Flecainide
hepatic dysfunction,Moderate,Flecainide
renal dysfunction,Moderate,Flecainide
cardiovascular disease,Major,Flexeril
anticholinergic effects,Moderate,Flexeril
glaucoma,Major,Flomax
hypotension,Moderate,Flomax
end-stage renal disease,Moderate,Flomax
severe liver disease,Moderate,Flomax
hyperadrenocorticism,Moderate,Flonase
infections,Moderate,Flonase
ocular herpes simplex,Moderate,Flonase
ocular toxicities,Moderate,Flonase
osteoporosis,Moderate,Flonase
hepatic impairment,Moderate,Flovent
hyperadrenocorticism,Moderate,Flovent
infections,Moderate,Flovent
ocular herpes simplex,Moderate,Flovent
ocular toxicities,Moderate,Flovent
osteoporosis,Moderate,Flovent
hepatic impairment,Moderate,Flovent HFA
hyperadrenocorticism,Moderate,Flovent HFA
infections,Moderate,Flovent HFA
ocular herpes simplex,Moderate,Flovent HFA
ocular toxicities,Moderate,Flovent HFA
osteoporosis,Moderate,Flovent HFA
hepatotoxicity,Major,Fluconazole
QT prolongation,Moderate,Fluconazole
hemodialysis,Moderate,Fluconazole
renal dysfunction,Moderate,Fluconazole
GI perforation,Major,Fludrocortisone
infections,Major,Fludrocortisone
PUD,Major,Fludrocortisone
vaccination,Major,Fludrocortisone
(+) tuberculin test,Moderate,Fludrocortisone
cirrhosis,Moderate,Fludrocortisone
depression/psychoses,Moderate,Fludrocortisone
diabetes,Moderate,Fludrocortisone
electrolyte imbalance,Moderate,Fludrocortisone
fluid retention,Moderate,Fludrocortisone
hyperadrenocorticalism,Moderate,Fludrocortisone
hyperlipidemia,Moderate,Fludrocortisone
hypothyroidism,Moderate,Fludrocortisone
liver disease,Moderate,Fludrocortisone
MI,Moderate,Fludrocortisone
myasthenia gravis,Moderate,Fludrocortisone
myopathy,Moderate,Fludrocortisone
ocular herpes simplex,Moderate,Fludrocortisone
ocular toxicities,Moderate,Fludrocortisone
osteoporosis,Moderate,Fludrocortisone
scleroderma,Moderate,Fludrocortisone
strongyloidiasis,Moderate,Fludrocortisone
thromboembolism,Moderate,Fludrocortisone
seizures,Major,Flumazenil
alcoholism,Moderate,Flumazenil
hepatic dysfunction,Moderate,Flumazenil
psychoses,Moderate,Flumazenil
depression,Major,Fluoxetine
diabetes,Moderate,Fluoxetine
hyponatremia,Moderate,Fluoxetine
glaucoma,Moderate,Fluoxetine
liver disease,Moderate,Fluoxetine
mania,Moderate,Fluoxetine
platelet function,Moderate,Fluoxetine
QT prolongation,Moderate,Fluoxetine
seizure disorders,Moderate,Fluoxetine
SIADH,Moderate,Fluoxetine
renal dysfunction,Minor,Fluoxetine
weight loss,Minor,Fluoxetine
dementia,Major,Fluphenazine
acute alcohol intoxication,Major,Fluphenazine
cardiovascular disease,Major,Fluphenazine
CNS depression,Major,Fluphenazine
head injury,Major,Fluphenazine
anticholinergic effects,Moderate,Fluphenazine
breast cancer,Moderate,Fluphenazine
dystonic reactions,Moderate,Fluphenazine
hematologic toxicity,Moderate,Fluphenazine
liver disease,Moderate,Fluphenazine
NMS,Moderate,Fluphenazine
parkinsonism,Moderate,Fluphenazine
renal dysfunction,Moderate,Fluphenazine
respiratory disorders,Moderate,Fluphenazine
seizure disorders,Moderate,Fluphenazine
tardive dyskinesia,Moderate,Fluphenazine
hepatic dysfunction,Major,Flutamide
hemolysis,Moderate,Flutamide
cardiovascular,Moderate,Fluticasone and salmeterol
diabetes,Moderate,Fluticasone and salmeterol
hypokalemia,Moderate,Fluticasone and salmeterol
seizures,Moderate,Fluticasone and salmeterol
hepatic impairment,Moderate,Fluticasone and salmeterol
hyperadrenocorticism,Moderate,Fluticasone and salmeterol
infections,Moderate,Fluticasone and salmeterol
ocular herpes simplex,Moderate,Fluticasone and salmeterol
ocular toxicities,Moderate,Fluticasone and salmeterol
osteoporosis,Moderate,Fluticasone and salmeterol
hepatic dysfunction,Moderate,Fluticasone and salmeterol
depression,Major,Fluvoxamine
hyponatremia,Moderate,Fluvoxamine
liver disease,Moderate,Fluvoxamine
mania,Moderate,Fluvoxamine
platelet function,Moderate,Fluvoxamine
seizure disorders,Moderate,Fluvoxamine
SIADH,Moderate,Fluvoxamine
smoking,Minor,Fluvoxamine
weight loss,Minor,Fluvoxamine
agitation,Major,Focalin
cardiac disease,Major,Focalin
glaucoma,Major,Focalin
hypertension,Major,Focalin
liver disease,Major,Focalin
psychiatric disorders,Major,Focalin
substance abuse,Major,Focalin
tics,Major,Focalin
hypertension,Major,Focalin
seizures disorders,Major,Focalin
bipolar disorders,Moderate,Focalin
psychotic disorders,Moderate,Focalin
renal dysfunction,Moderate,Focalin
seizure disorders,Moderate,Focalin
hematologic toxicity,Moderate,Focalin
agitation,Major,Focalin XR
cardiac disease,Major,Focalin XR
glaucoma,Major,Focalin XR
hypertension,Major,Focalin XR
liver disease,Major,Focalin XR
psychiatric disorders,Major,Focalin XR
substance abuse,Major,Focalin XR
tics,Major,Focalin XR
hypertension,Major,Focalin XR
seizures disorders,Major,Focalin XR
bipolar disorders,Moderate,Focalin XR
psychotic disorders,Moderate,Focalin XR
renal dysfunction,Moderate,Focalin XR
seizure disorders,Moderate,Focalin XR
hematologic toxicity,Moderate,Focalin XR
anemia,Major,Folic Acid
hyperparathyroidism,Major,Forteo
malignancy,Major,Forteo
metabolic bone disorder,Major,Forteo
orthostatic hypotension,Moderate,Forteo
renal impairment,Moderate,Forteo
urolithiasis,Moderate,Forteo
aspiration,Major,Fosamax
ONJ,Major,Fosamax
hypocalcemia,Major,Fosamax
upper GI mucosal irritation,Major,Fosamax
CV,Moderate,Fosamax
renal dysfunction,Moderate,Fosamax
asthma,Moderate,Fosamax
colitis,Major,Fosfomycin
hemodialysis,Moderate,Fosfomycin
renal dysfunction,Minor,Fosfomycin
angioedema,Major,Fosinopril
bone marrow suppression,Major,Fosinopril
CHF,Major,Fosinopril
hemodialysis,Major,Fosinopril
hyperkalemia,Major,Fosinopril
hypotension,Major,Fosinopril
liver disease,Moderate,Fosinopril
renal dysfunction,Moderate,Fosinopril
liver impairment,Moderate,Fosinopril
hepatic dysfunction,Major,Fulvestrant
bleeding,Moderate,Fulvestrant
anuria,Major,Furosemide
cirrhosis,Major,Furosemide
electrolyte losses,Major,Furosemide
ototoxicity,Major,Furosemide
renal dysfunction,Major,Furosemide
lupus erythematosus,Moderate,Furosemide
diabetes,Moderate,Furosemide
hyperuricemia,Moderate,Furosemide
urinary retention,Moderate,Furosemide
renal impairment,Major,Fycompa
suicidal tendency,Moderate,Fycompa
elevated triglycerides,Moderate,Fycompa
weight gain,Moderate,Fycompa
Perampanel – hepatic impairment,Moderate,Fycompa
drug dependence,Major,Gabapentin
renal dysfunction,Major,Gabapentin
suicidal tendency,Moderate,Gabapentin
hemodialysis,Moderate,Gabapentin
bradycardia,Major,Galantamine
bronchospasm,Major,Galantamine
PUD,Major,Galantamine
hepatic impairment,Moderate,Galantamine
renal impairment,Moderate,Galantamine
warfarin,Moderate,Garlic
constipation,Major,Gaviscon
renal dysfunction,Major,Gaviscon
hepatic impairment,Moderate,Gavreto
QT prolongation,Moderate,Gavreto
renal dysfunction,Moderate,Gavreto
Anti-CD20 antibodies – hepatitis B,Major,Gazyva
Anti-CD20 antibodies – infections,Major,Gazyva
tumor lysis syndrome,Major,Gazyva
cardiopulmonary disease,Moderate,Gazyva
cytopenias,Moderate,Gazyva
infections,Major,Gemcitabine
cardiovascular dysfunction,Major,Gemcitabine
hemolytic uremic syndrome,Major,Gemcitabine
myelosuppression,Major,Gemcitabine
cerebrovascular disease,Moderate,Gemcitabine
edema,Moderate,Gemcitabine
hepatic dysfunction,Moderate,Gemcitabine
paresthesia,Moderate,Gemcitabine
pulmonary dysfunction,Moderate,Gemcitabine
renal dysfunction,Moderate,Gemcitabine
biliary cirrhosis,Major,Gemfibrozil
cholelithiasis,Major,Gemfibrozil
HDL cholesterol,Major,Gemfibrozil
rhabdomyolysis,Major,Gemfibrozil
liver disease,Major,Gemfibrozil
renal dysfunction,Major,Gemfibrozil
hematological changes,Moderate,Gemfibrozil
urinary retention,Moderate,Gemtesa
infections,Major,Gemzar
cardiovascular dysfunction,Major,Gemzar
hemolytic uremic syndrome,Major,Gemzar
myelosuppression,Major,Gemzar
cerebrovascular disease,Moderate,Gemzar
edema,Moderate,Gemzar
hepatic dysfunction,Moderate,Gemzar
paresthesia,Moderate,Gemzar
pulmonary dysfunction,Moderate,Gemzar
renal dysfunction,Moderate,Gemzar
dehydration,Major,Gentamicin
neuromuscular blockade,Major,Gentamicin
ototoxicity,Major,Gentamicin
renal dysfunction,Major,Gentamicin
dementia,Major,Geodon
acute alcohol intoxication,Major,Geodon
CNS depression,Major,Geodon
NMS,Major,Geodon
tardive dyskinesia,Major,Geodon
QT interval prolongation,Major,Geodon
aspiration,Moderate,Geodon
seizure,Moderate,Geodon
hematologic abnormalities,Moderate,Geodon
hyperglycemia/diabetes,Moderate,Geodon
hypotension,Moderate,Geodon
lipid alterations,Moderate,Geodon
priapism,Moderate,Geodon
weight gain,Moderate,Geodon
depression,Moderate,Geodon
hyperprolactinemia,Moderate,Geodon
liver disease,Moderate,Geodon
parkinsonism,Moderate,Geodon
renal dysfunction,Moderate,Giazo
CV disease,Major,Gilenya
hepatic impairment,Moderate,Gilenya
hypertension,Moderate,Gilenya
infections,Moderate,Gilenya
macular edema,Moderate,Gilenya
respiratory dysfunction,Moderate,Gilenya
encephalopathy,Moderate,Gilenya
MS,Moderate,Gilenya
warfarin,Moderate,Ginger
ziprasidone,Moderate,Ginkgo Biloba
zonisamide,Moderate,Ginkgo Biloba
cardiovascular disease,Moderate,Gleevec
fluid retention,Moderate,Gleevec
bone marrow suppression,Moderate,Gleevec
gastrointestinal disorders,Moderate,Gleevec
hepatic impairment,Moderate,Gleevec
hypothyroidism,Moderate,Gleevec
renal impairment,Moderate,Gleevec
cardiovascular risk,Major,Glimepiride
renal/liver disease,Major,Glimepiride
hypoglycemia,Moderate,Glimepiride
G6PD deficiency,Moderate,Glimepiride
hyponatremia,Moderate,Glimepiride
cardiovascular risk,Major,Glipizide
DKA,Major,Glipizide
renal/liver disease,Major,Glipizide
GI narrowing,Moderate,Glipizide
hypoglycemia,Moderate,Glipizide
G6PD deficiency,Moderate,Glipizide
hyponatremia,Moderate,Glipizide
insulinoma,Major,Glucagon
pheochromocytoma,Major,Glucagon
cardiac disease,Moderate,Glucagon
glycogen depletion,Moderate,Glucagon
lactic acidosis,Major,Glucophage
cardiovascular risk,Major,Glucophage
hypoglycemia,Moderate,Glucophage
B12 deficiency,Moderate,Glucophage
cardiovascular risk,Major,Glucotrol
DKA,Major,Glucotrol
renal/liver disease,Major,Glucotrol
GI narrowing,Moderate,Glucotrol
hypoglycemia,Moderate,Glucotrol
G6PD deficiency,Moderate,Glucotrol
hyponatremia,Moderate,Glucotrol
cardiovascular risk,Major,Glyburide
DKA,Major,Glyburide
renal/liver disease,Major,Glyburide
hypoglycemia,Moderate,Glyburide
G6PD deficiency,Moderate,Glyburide
hyponatremia,Moderate,Glyburide
arrhythmias,Major,Glycopyrrolate
autonomic neuropathy,Major,Glycopyrrolate
GI obstruction,Major,Glycopyrrolate
glaucoma,Major,Glycopyrrolate
obstructive uropathy,Major,Glycopyrrolate
tardive dyskinesia,Major,Glycopyrrolate
infectious diarrhea,Major,Glycopyrrolate
myasthenia gravis,Major,Glycopyrrolate
psychoses,Moderate,Glycopyrrolate
hypertension,Minor,Glycopyrrolate
fever,Minor,Glycopyrrolate
pancreatitis,Major,Glyxambi
renal dysfunction,Major,Glyxambi
hypotension,Moderate,Glyxambi
infections,Moderate,Glyxambi
psychoses/depression,Major,Gocovri
renal dysfunction,Major,Gocovri
seizure disorders,Major,Gocovri
hypotension,Major,Gocovri
psychosis,Major,Gocovri
CHF/edema,Moderate,Gocovri
hypotension,Moderate,Gocovri
ziprasidone,Major,Granisetron
zolmitriptan,Major,Granisetron
bradyarrhythmia,Moderate,Guanfacine
depression,Moderate,Guanfacine
hypotension,Moderate,Guanfacine
ADHD,Moderate,Guanfacine
renal/liver disease,Moderate,Guanfacine
insulinoma,Major,Gvoke HypoPen
pheochromocytoma,Major,Gvoke HypoPen
cardiac disease,Moderate,Gvoke HypoPen
glycogen depletion,Moderate,Gvoke HypoPen
thromboembolic events,Moderate,Haegarda
acute alcohol intoxication,Major,Halcion
closed-angle glaucoma,Major,Halcion
drug dependence,Major,Halcion
renal/liver disease,Major,Halcion
respiratory depression,Major,Halcion
seizures,Major,Halcion
depression,Moderate,Halcion
obesity,Moderate,Halcion
paradoxical reactions,Moderate,Halcion
dementia,Major,Haldol
hyperthyroidism,Major,Haldol
parkinsonism,Major,Haldol
CNS depression/coma,Major,Haldol
related psychosis,Major,Haldol
previous neuroleptic malignant syndrome (NMS),Major,Haldol
seizure disorders,Major,Haldol
acute alcohol intoxication,Major,Haldol
cardiovascular disease,Major,Haldol
CNS depression,Major,Haldol
NMS,Major,Haldol
tardive dyskinesia,Major,Haldol
seizure,Moderate,Haldol
alcohol,Moderate,Haldol
cardiovascular disease,Moderate,Haldol
QT prolongation,Moderate,Haldol
renal/liver disease,Moderate,Haldol
hyperprolactinemia/breast cancer,Moderate,Haldol
neutropenia,Moderate,Haldol
dehydration,Moderate,Haldol
hyperprolactinemia,Moderate,Haldol
diabetes,Moderate,Halobetasol
diaper rash,Moderate,Halobetasol
hyperadrenocorticism,Moderate,Halobetasol
infections,Moderate,Halobetasol
ocular toxicities,Moderate,Halobetasol
dementia,Major,Haloperidol
hyperthyroidism,Major,Haloperidol
parkinsonism,Major,Haloperidol
CNS depression/coma,Major,Haloperidol
related psychosis,Major,Haloperidol
previous neuroleptic malignant syndrome (NMS),Major,Haloperidol
seizure disorders,Major,Haloperidol
acute alcohol intoxication,Major,Haloperidol
cardiovascular disease,Major,Haloperidol
CNS depression,Major,Haloperidol
NMS,Major,Haloperidol
tardive dyskinesia,Major,Haloperidol
seizure,Moderate,Haloperidol
alcohol,Moderate,Haloperidol
cardiovascular disease,Moderate,Haloperidol
QT prolongation,Moderate,Haloperidol
renal/liver disease,Moderate,Haloperidol
hyperprolactinemia/breast cancer,Moderate,Haloperidol
neutropenia,Moderate,Haloperidol
dehydration,Moderate,Haloperidol
hyperprolactinemia,Moderate,Haloperidol
immunosuppression,Major,Harvoni
renal impairment,Moderate,Harvoni
hepatic impairment,Moderate,Harvoni
renal impairment,Moderate,Harvoni
peptic ulcer disease,Major,Heparin
active bleeding,Major,Heparin
hypertension,Major,Heparin
prematurity,Major,Heparin
renal dysfunction,Major,Heparin
thrombocytopenia,Major,Heparin
hyperkalemia,Moderate,Heparin
hemophilia,Moderate,Hepatitis B adult vaccine
pulmonary toxicity,Major,Herceptin
CHF,Moderate,Herceptin
peripheral neuropathy,Moderate,Herceptin
thrombocytopenia,Moderate,Herceptin
crystalluria,Major,Hiprex
gout,Major,Hiprex
liver disease,Major,Hiprex
ziprasidone,Major,Histrelin
renal disease,Major,Hizentra
thrombosis,Major,Hizentra
drug dependence,Major,Horizant
renal dysfunction,Major,Horizant
suicidal tendency,Moderate,Horizant
hemodialysis,Moderate,Horizant
renal/liver disease,Moderate,Humalog
hypokalemia,Moderate,Humalog
hypoglycemia,Moderate,Humalog
infections,Major,Humira
malignancies,Major,Humira
neurologic reactions,Major,Humira
tuberculosis,Major,Humira
CHF,Moderate,Humira
COPD,Moderate,Humira
hematologic abnormalities,Moderate,Humira
hepatitis B,Moderate,Humira
renal/liver disease,Moderate,Humulin N
hypokalemia,Moderate,Humulin N
hypoglycemia,Moderate,Humulin N
renal/liver disease,Moderate,Humulin R
hypokalemia,Moderate,Humulin R
hypoglycemia,Moderate,Humulin R
bone marrow suppression,Major,Hydralazine
coronary artery disease,Major,Hydralazine
lupus erythematosus,Major,Hydralazine
valvular heart disease,Major,Hydralazine
cerebral vasculopathy,Moderate,Hydralazine
renal dysfunction,Moderate,Hydralazine
myelosuppression,Major,Hydrea
renal dysfunction,Major,Hydrea
hepatic dysfunction,Moderate,Hydrea
seizure disorders,Moderate,Hydrea
neurologic disorders,Minor,Hydrea
anuria,Major,Hydrochlorothiazide
electrolyte losses,Major,Hydrochlorothiazide
liver disease,Major,Hydrochlorothiazide
lupus erythematosus,Major,Hydrochlorothiazide
renal function disorders,Major,Hydrochlorothiazide
asthma,Moderate,Hydrochlorothiazide
diabetes,Moderate,Hydrochlorothiazide
hyperlipidemia,Moderate,Hydrochlorothiazide
hyperparathyroidism,Moderate,Hydrochlorothiazide
hyperuricemia,Moderate,Hydrochlorothiazide
thyroid function tests,Moderate,Hydrochlorothiazide
diabetes,Major,Hydrochlorothiazide and irbesartan
angioedema,Major,Hydrochlorothiazide and irbesartan
hypotension,Major,Hydrochlorothiazide and irbesartan
anuria,Major,Hydrochlorothiazide and irbesartan
electrolyte losses,Major,Hydrochlorothiazide and irbesartan
liver disease,Major,Hydrochlorothiazide and irbesartan
lupus erythematosus,Major,Hydrochlorothiazide and irbesartan
renal function disorders,Major,Hydrochlorothiazide and irbesartan
CHF,Moderate,Hydrochlorothiazide and irbesartan
hyperkalemia,Moderate,Hydrochlorothiazide and irbesartan
renal artery stenosis,Moderate,Hydrochlorothiazide and irbesartan
renal impairment,Moderate,Hydrochlorothiazide and irbesartan
renal/liver disease,Moderate,Hydrochlorothiazide and irbesartan
asthma,Moderate,Hydrochlorothiazide and irbesartan
diabetes,Moderate,Hydrochlorothiazide and irbesartan
hyperlipidemia,Moderate,Hydrochlorothiazide and irbesartan
hyperparathyroidism,Moderate,Hydrochlorothiazide and irbesartan
hyperuricemia,Moderate,Hydrochlorothiazide and irbesartan
thyroid function tests,Moderate,Hydrochlorothiazide and irbesartan
angioedema,Major,Hydrochlorothiazide and lisinopril
bone marrow suppression,Major,Hydrochlorothiazide and lisinopril
CHF,Major,Hydrochlorothiazide and lisinopril
hemodialysis,Major,Hydrochlorothiazide and lisinopril
hyperkalemia,Major,Hydrochlorothiazide and lisinopril
hypotension,Major,Hydrochlorothiazide and lisinopril
anuria,Major,Hydrochlorothiazide and lisinopril
electrolyte losses,Major,Hydrochlorothiazide and lisinopril
liver disease,Major,Hydrochlorothiazide and lisinopril
lupus erythematosus,Major,Hydrochlorothiazide and lisinopril
renal function disorders,Major,Hydrochlorothiazide and lisinopril
liver disease,Moderate,Hydrochlorothiazide and lisinopril
renal dysfunction,Moderate,Hydrochlorothiazide and lisinopril
asthma,Moderate,Hydrochlorothiazide and lisinopril
diabetes,Moderate,Hydrochlorothiazide and lisinopril
hyperlipidemia,Moderate,Hydrochlorothiazide and lisinopril
hyperparathyroidism,Moderate,Hydrochlorothiazide and lisinopril
hyperuricemia,Moderate,Hydrochlorothiazide and lisinopril
thyroid function tests,Moderate,Hydrochlorothiazide and lisinopril
diabetes,Major,Hydrochlorothiazide and losartan
angioedema,Major,Hydrochlorothiazide and losartan
hypotension,Major,Hydrochlorothiazide and losartan
anuria,Major,Hydrochlorothiazide and losartan
electrolyte losses,Major,Hydrochlorothiazide and losartan
